round,owner,selected_team
1,Dustin,Georgia
1,Nuzzo,Ohio State
1,Allan,Texas
1,JB,Notre Dame
1,Gillis,Indiana
1,Hoffman,Oregon
1,Broc,Michigan
1,Meso,Miami (FL)
1,Talty,Texas Tech
1,Mann,Utah
2,Mann,Virginia
2,Talty,Texas A&M
2,Meso,Alabama
2,Broc,Mississippi
2,Hoffman,Penn State
2,Gillis,Louisiana State
2,JB,Southern California
2,Allan,Tennessee
2,Nuzzo,Louisville
2,Dustin,Brigham Young
3,Dustin,Oklahoma
3,Nuzzo,Iowa State
3,Allan,Iowa
3,JB,Southern Methodist
3,Gillis,James Madison
3,Hoffman,Boise State
3,Broc,Arizona State
3,Meso,Washington
3,Talty,Houston
3,Mann,Tulane
4,Mann,Duke
4,Talty,Kansas State
4,Meso,Missouri
4,Broc,Clemson
4,Hoffman,Georgia Tech
4,Gillis,Toledo
4,JB,Navy
4,Allan,Virginia Tech
4,Nuzzo,Pittsburgh
4,Dustin,North Texas
5,Dustin,East Carolina
5,Nuzzo,Ohio
5,Allan,Nebraska
5,JB,South Carolina
5,Gillis,Louisiana Tech
5,Hoffman,West Virginia
5,Broc,Florida
5,Meso,Nevada-Las Vegas
5,Talty,Vanderbilt
5,Mann,Western Michigan
6,Mann,Texas Christian
6,Talty,Kennesaw State
6,Meso,Illinois
6,Broc,Massachusetts
6,Hoffman,South Florida
6,Gillis,Texas-San Antonio
6,JB,Syracuse
6,Allan,Colorado
6,Nuzzo,Baylor
6,Dustin,Memphis
7,Dustin,California
7,Nuzzo,Fresno State
7,Allan,Minnesota
7,JB,UCLA
7,Gillis,North Carolina
7,Hoffman,Coastal Carolina
7,Broc,San Diego State
7,Meso,Louisiana
7,Talty,Wake Forest
7,Mann,Old Dominion
8,Mann,Arizona
8,Talty,Hawaii
8,Meso,North Carolina State
8,Broc,Army
8,Hoffman,Southern Mississippi
8,Gillis,Auburn
8,JB,Nevada
8,Allan,Tulsa
8,Nuzzo,New Mexico
8,Dustin,Connecticut
9,Dustin,Northwestern
9,Nuzzo,Western Kentucky
9,Allan,Jacksonville State
9,JB,Cincinnati
9,Gillis,Florida State
9,Hoffman,Air Force
9,Broc,Kentucky
9,Meso,Texas State
9,Talty,Liberty
9,Mann,Troy
10,Mann,Georgia Southern
10,Talty,Kansas
10,Meso,Appalachian State
10,Broc,Washington State
10,Hoffman,Michigan State
10,Gillis,Wisconsin
10,JB,Central Florida
10,Allan,North Dakota State
10,Nuzzo,Central Michigan
10,Dustin,Marshall
